model,epoch,phase,epock_loss,epoch_acc
finetune,0,train,1.030108311391539,0.6272222222222222
finetune,0,test,0.5354468713576594,0.8022916666666666
finetune,1,train,0.8413076530314154,0.6965277777777777
finetune,1,test,0.6478425163278977,0.7529166666666667
finetune,2,train,0.7867284934388267,0.7202777777777778
finetune,2,test,0.5440866018707553,0.8029166666666666
finetune,3,train,0.7651525575667619,0.7261111111111112
finetune,3,test,0.558534454194208,0.81375
finetune,4,train,0.7032784352865484,0.7504166666666666
finetune,4,test,0.44234665133059026,0.835
finetune,5,train,0.6670633558183908,0.7634722222222222
finetune,5,test,0.4122323771690329,0.8491666666666666
finetune,6,train,0.6326951258132855,0.7756944444444445
finetune,6,test,0.49852742000172534,0.8279166666666666
finetune,7,train,0.4974111461887757,0.8240277777777778
finetune,7,test,0.43882500936587654,0.8429166666666666
finetune,8,train,0.46321973635090724,0.8306944444444444
finetune,8,test,0.3584133835385243,0.8754166666666666
finetune,9,train,0.44801570132374763,0.8411111111111111
finetune,9,test,0.3714245124409596,0.8675
finetune,10,train,0.45373460862371656,0.8384722222222222
finetune,10,test,0.34955913936098415,0.87625
finetune,11,train,0.4409401901645793,0.8443055555555555
finetune,11,test,0.346929192468524,0.874375
finetune,12,train,0.4217177281363143,0.8490277777777778
finetune,12,test,0.3422318816309174,0.8814583333333333
finetune,13,train,0.42959274417824217,0.84875
finetune,13,test,0.3403086803605159,0.879375
finetune,14,train,0.4038897495302889,0.8606944444444444
finetune,14,test,0.3438013428946336,0.8783333333333333
finetune,15,train,0.4155161250879367,0.855
finetune,15,test,0.37134338202575845,0.8729166666666667
finetune,16,train,0.41051906762023765,0.8565277777777778
finetune,16,test,0.32863317854702473,0.8864583333333333
finetune,17,train,0.4115602540059222,0.8544444444444445
finetune,17,test,0.3398069522778193,0.878125
finetune,18,train,0.4017104696896341,0.8565277777777778
finetune,18,test,0.32706963022549945,0.8827083333333333
finetune,19,train,0.40754541092448765,0.8580555555555556
finetune,19,test,0.34603007562458515,0.8783333333333333
finetune,20,train,0.4052933170563645,0.8575
finetune,20,test,0.3288174624120196,0.8827083333333333
finetune,21,train,0.3975327891111374,0.8629166666666667
